alpha,target_coverage,pc_racp_coverage,rac_coverage,pc_racp_utility,rac_utility,pc_racp_action1_count,rac_action1_count,pc_racp_action1_rate,rac_action1_rate,pc_racp_a0_set01_rate,rac_a0_set01_rate,n_test,pc_racp_pair_a0_empty_count,pc_racp_pair_a0_empty_rate,pc_racp_pair_a0_0_count,pc_racp_pair_a0_0_rate,pc_racp_pair_a0_1_count,pc_racp_pair_a0_1_rate,pc_racp_pair_a0_01_count,pc_racp_pair_a0_01_rate,pc_racp_pair_a1_empty_count,pc_racp_pair_a1_empty_rate,pc_racp_pair_a1_0_count,pc_racp_pair_a1_0_rate,pc_racp_pair_a1_1_count,pc_racp_pair_a1_1_rate,pc_racp_pair_a1_01_count,pc_racp_pair_a1_01_rate,rac_pair_a0_empty_count,rac_pair_a0_empty_rate,rac_pair_a0_0_count,rac_pair_a0_0_rate,rac_pair_a0_1_count,rac_pair_a0_1_rate,rac_pair_a0_01_count,rac_pair_a0_01_rate,rac_pair_a1_empty_count,rac_pair_a1_empty_rate,rac_pair_a1_0_count,rac_pair_a1_0_rate,rac_pair_a1_1_count,rac_pair_a1_1_rate,rac_pair_a1_01_count,rac_pair_a1_01_rate
0.02,0.98,0.9771437578814628,0.9859709962168979,0.30108593749999996,0.28553125,0.0,0.0,0.0,0.0,0.6594270833333333,0.763125,19200.0,0.0,0.0,6539.0,0.34057291666666667,0.0,0.0,12661.0,0.6594270833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4548.0,0.236875,0.0,0.0,14652.0,0.763125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.96,0.9576734549586416,0.969735182849937,0.33097395833333326,0.31116927083333334,5.0,2.0,0.00026041666666666666,0.00010416666666666667,0.4611617608752279,0.592613813938952,19200.0,0.0,0.0,10343.0,0.5386979166666667,0.0,0.0,8852.0,0.4610416666666667,0.0,0.0,0.0,0.0,5.0,0.00026041666666666666,0.0,0.0,0.0,0.0,7821.0,0.40734375,0.0,0.0,11377.0,0.5925520833333333,0.0,0.0,0.0,0.0,2.0,0.00010416666666666667,0.0,0.0
0.06,0.94,0.9361477920918176,0.9555403103226662,0.35807812499999997,0.33321874999999995,75.0,39.0,0.00390625,0.00203125,0.2936470588235294,0.4528991180001044,19200.0,0.0,0.0,13509.0,0.70359375,0.0,0.0,5616.0,0.2925,0.0,0.0,0.0,0.0,75.0,0.00390625,0.0,0.0,0.0,0.0,10483.0,0.5459895833333334,0.0,0.0,8678.0,0.45197916666666665,0.0,0.0,0.0,0.0,39.0,0.00203125,0.0,0.0
0.08,0.92,0.9169247719035022,0.9421866503027816,0.3773802083333333,0.3506875,434.0,258.0,0.022604166666666668,0.0134375,0.23137589257167218,0.3786295005807201,19200.0,0.0,0.0,14424.0,0.75125,0.0,0.0,4342.0,0.22614583333333332,0.0,0.0,0.0,0.0,434.0,0.022604166666666668,0.0,0.0,0.0,0.0,11770.0,0.6130208333333333,0.0,0.0,7172.0,0.37354166666666666,0.0,0.0,0.0,0.0,258.0,0.0134375,0.0,0.0
0.1,0.9,0.8961970642311262,0.9236003267545597,0.3952135416666666,0.36758854166666666,907.0,607.0,0.047239583333333335,0.031614583333333335,0.1987645547477177,0.33195288549454094,19200.0,0.0,0.0,14657.0,0.7633854166666667,0.0,0.0,3636.0,0.189375,0.0,0.0,0.0,0.0,907.0,0.047239583333333335,0.0,0.0,0.0,0.0,12421.0,0.6469270833333334,0.0,0.0,6172.0,0.32145833333333335,0.0,0.0,0.0,0.0,607.0,0.031614583333333335,0.0,0.0
0.12,0.88,0.8773423687822273,0.9044324326657256,0.4144140625,0.3876197916666666,1449.0,1060.0,0.07546875,0.05520833333333333,0.1681595403075883,0.28213891951488423,19200.0,0.0,0.0,14766.0,0.7690625,0.0,0.0,2985.0,0.15546875,0.0,0.0,0.0,0.0,1449.0,0.07546875,0.0,0.0,0.0,0.0,13022.0,0.6782291666666667,0.0,0.0,5118.0,0.2665625,0.0,0.0,0.0,0.0,1060.0,0.05520833333333333,0.0,0.0
0.14,0.86,0.8569093209013843,0.8871787482412616,0.4327708333333334,0.4040989583333333,2009.0,1463.0,0.10463541666666666,0.07619791666666667,0.14554127159560235,0.24536280092462084,19200.0,0.0,0.0,14689.0,0.7650520833333333,0.0,0.0,2502.0,0.1303125,0.0,0.0,0.0,0.0,2009.0,0.10463541666666666,0.0,0.0,0.0,0.0,13385.0,0.6971354166666667,0.0,0.0,4352.0,0.22666666666666666,0.0,0.0,0.0,0.0,1463.0,0.07619791666666667,0.0,0.0
0.16,0.84,0.8391580302444146,0.8690302946362501,0.4503333333333333,0.42294531249999995,2552.0,1929.0,0.13291666666666666,0.10046875,0.12397885631907736,0.20224654044351803,19200.0,0.0,0.0,14584.0,0.7595833333333334,0.0,0.0,2064.0,0.1075,0.0,0.0,0.0,0.0,2552.0,0.13291666666666666,0.0,0.0,0.0,0.0,13778.0,0.7176041666666667,0.0,0.0,3493.0,0.18192708333333332,0.0,0.0,0.0,0.0,1929.0,0.10046875,0.0,0.0
0.18,0.8200000000000001,0.8187476409560631,0.8497439088602747,0.467046875,0.43917187500000004,3081.0,2331.0,0.16046875,0.12140625,0.10472113654693219,0.1633766079791333,19200.0,0.0,0.0,14431.0,0.7516145833333333,0.0,0.0,1688.0,0.08791666666666667,0.0,0.0,0.0,0.0,3081.0,0.16046875,0.0,0.0,0.0,0.0,14113.0,0.7350520833333334,0.0,0.0,2756.0,0.14354166666666668,0.0,0.0,0.0,0.0,2331.0,0.12140625,0.0,0.0
0.2,0.8,0.7975470455157174,0.8317819227198786,0.4820833333333333,0.45560937500000004,3593.0,2763.0,0.18713541666666667,0.14390625,0.09418850515794194,0.12727383342459087,19200.0,0.0,0.0,14137.0,0.7363020833333334,0.0,0.0,1470.0,0.0765625,0.0,0.0,0.0,0.0,3593.0,0.18713541666666667,0.0,0.0,0.0,0.0,14345.0,0.7471354166666667,0.0,0.0,2092.0,0.10895833333333334,0.0,0.0,0.0,0.0,2763.0,0.14390625,0.0,0.0
